unity_time;FPS
39.800;113.06
39.900;119.26
40.000;116.81
40.100;121.00
40.200;110.20
40.300;120.65
40.400;114.87
40.500;117.12
40.600;123.28
40.700;129.23
40.800;123.24
40.900;124.00
41.000;121.40
41.100;124.47
41.200;121.55
41.300;112.44
41.400;117.00
41.500;122.72
41.600;116.23
41.700;113.83
41.800;106.25
41.900;121.83
42.000;124.70
42.100;123.16
42.200;129.72
42.300;128.10
42.400;134.93
42.500;132.12
42.600;126.67
42.700;136.19
42.800;127.97
42.900;126.99
43.000;133.29
43.100;134.91
43.200;125.98
43.300;135.60
43.400;137.81
43.500;137.63
43.600;126.93
43.700;127.37
43.800;127.89
43.900;132.65
44.000;127.30
44.100;131.71
44.200;118.99
44.300;106.00
44.400;99.37
44.500;134.39
44.600;137.40
44.700;147.17
44.800;142.17
44.900;143.87
45.000;132.31
45.100;134.65
45.200;137.09
45.300;127.05
45.400;126.26
45.500;143.16
45.600;142.95
45.700;142.53
45.800;124.92
45.900;144.80
46.000;146.94
46.100;147.99
46.200;146.27
46.300;154.10
46.400;156.19
46.500;145.06
46.600;144.88
46.700;128.61
46.800;137.95
46.900;138.00
47.000;146.41
47.100;155.68
47.200;158.19
47.300;163.33
47.400;162.69
47.500;162.94
47.600;162.83
47.700;158.78
47.800;159.97
47.900;162.06
48.000;163.90
48.100;158.95
48.200;163.57
48.300;168.21
48.400;166.01
48.500;168.83
48.600;173.73
48.700;167.45
48.800;164.64
48.900;168.96
49.000;166.09
49.100;165.21
49.200;173.32
49.300;178.11
49.400;179.20
49.500;174.07
49.600;176.51
49.700;179.33
49.800;175.70
49.900;169.01
50.000;176.56
50.100;181.92
50.200;176.30
50.300;178.54
50.400;173.65
50.500;177.40
50.600;181.90
50.700;182.05
50.800;176.42
50.900;173.32
51.000;162.33
51.100;175.08
51.200;168.66
51.300;168.38
51.400;167.39
51.500;168.58
51.600;173.91
51.700;163.79
51.800;174.18
51.900;177.43
52.000;177.07
52.100;178.00
52.200;182.73
52.300;180.91
52.400;177.65
52.500;179.09
52.600;180.21
52.700;183.82
52.800;170.34
52.900;175.96
53.000;167.37
53.100;170.02
53.200;171.21
53.300;161.28
53.400;155.99
53.500;156.80
53.600;159.66
53.700;147.84
53.800;152.41
53.900;151.77
54.000;156.39
54.100;160.27
54.200;157.58
54.300;157.68
54.400;163.02
54.500;173.87
54.600;175.23
54.700;175.88
54.800;166.01
54.900;173.41
55.000;165.03
55.100;174.62
55.200;181.91
55.300;172.10
55.400;171.03
55.500;164.84
55.600;185.01
55.700;180.21
55.800;177.72
55.900;180.89
56.000;175.71
56.100;177.13
56.200;177.53
56.300;184.88
56.400;184.57
56.500;184.61
56.600;182.71
56.700;178.39
56.800;168.99
56.900;179.60
57.000;175.01
57.100;173.36
57.200;169.56
57.300;159.98
57.400;146.47
57.500;137.17
57.600;134.13
57.700;132.24
57.800;118.72
57.900;118.71
58.000;112.91
58.100;119.63
58.200;122.96
58.300;123.88
58.400;124.13
58.500;118.33
58.600;121.58
58.700;120.07
58.800;113.27
58.900;120.67
59.000;120.89
59.100;113.41
59.200;124.69
59.300;124.00
59.400;122.28
59.500;122.11
59.600;122.60
59.700;121.91
59.800;119.57
59.900;125.54
60.000;128.34
60.100;123.79
60.200;124.54
60.300;128.71
60.400;127.82
60.500;131.00
60.600;129.71
60.700;130.25
60.800;125.73
60.900;128.27
61.000;128.38
61.100;126.96
61.200;124.15
61.300;128.30
61.400;131.18
61.500;132.64
61.600;131.42
61.700;137.78
61.800;135.19
61.900;135.46
62.000;129.93
62.100;129.86
62.200;136.31
62.300;133.56
62.400;136.67
62.500;132.57
62.600;138.64
62.700;140.47
62.800;133.32
62.900;139.37
63.000;133.06
63.100;130.49
63.200;136.62
63.300;133.59
63.400;131.72
63.500;121.55
63.600;104.36
63.700;112.54
63.800;114.28
63.900;128.95
64.000;129.21
64.100;135.85
64.200;136.35
64.300;140.59
64.400;125.18
64.500;122.59
64.600;131.73
64.700;137.26
64.800;119.28
64.900;131.40
65.000;116.04
65.100;112.30
65.200;120.10
65.300;122.08
65.400;117.35
65.500;121.64
65.600;126.89
65.700;127.09
65.800;117.20
65.900;130.12
66.000;124.67
66.100;130.56
66.200;119.12
66.300;126.96
66.400;130.88
66.500;127.91
66.600;118.14
66.700;124.91
66.800;119.22
66.900;125.21
67.000;124.47
67.100;121.60
67.200;123.31
67.300;121.73
67.400;108.61
67.500;96.80
67.600;90.81
67.700;104.35
67.800;121.85
67.900;118.19
68.000;129.39
68.100;132.24
68.200;127.19
68.300;123.01
68.400;123.01
68.500;111.45
68.600;111.45
68.700;100.72
68.800;100.72
68.900;91.09
69.000;91.09
69.100;91.09
69.200;82.28
69.300;82.28
69.400;82.28
69.500;82.28
69.600;74.37
69.700;74.37
69.800;74.37
69.900;67.26
70.000;67.26
70.100;67.26
70.200;60.88
70.300;65.35
70.400;85.25
70.500;101.08
70.600;103.05
70.700;109.06
70.800;110.51
70.900;113.82
71.000;115.53
71.100;123.01
71.200;115.07
71.300;125.84
71.400;131.17
71.500;134.16
71.600;124.14
71.700;128.17
71.800;116.31
71.900;106.98
72.000;97.76
72.100;109.18
72.200;108.98
72.300;104.53
72.400;111.04
72.500;116.35
72.600;110.55
72.700;118.28
72.800;117.05
72.900;116.28
73.000;108.36
73.100;111.15
73.200;97.28
73.300;101.55
73.400;116.76
73.500;117.84
73.600;110.36
73.700;103.66
73.800;114.08
73.900;97.01
74.000;91.00
74.100;112.68
74.200;114.10
74.300;113.84
74.400;109.19
74.500;106.95
74.600;113.37
74.700;127.99
74.800;127.40
74.900;133.21
75.000;126.92
75.100;126.31
75.200;130.22
75.300;114.45
75.400;103.83
75.500;110.11
75.600;105.81
75.700;108.77
75.800;99.57
75.900;101.90
76.000;100.11
76.100;99.93
76.200;107.44
76.300;103.79
76.400;102.07
76.500;134.97
76.600;144.14
76.700;141.59
76.800;125.69
76.900;137.36
77.000;133.48
77.100;126.42
77.200;122.50
77.300;132.10
77.400;126.66
77.500;134.84
77.600;135.46
77.700;134.62
77.800;132.31
77.900;134.69
78.000;134.18
78.100;137.98
78.200;139.46
78.300;133.90
78.400;130.37
78.500;135.68
78.600;137.43
78.700;138.24
78.800;120.84
78.900;131.59
79.000;134.31
79.100;134.90
79.200;139.07
79.300;137.70
79.400;133.78
79.500;139.97
79.600;140.99
79.700;131.54
79.800;135.18
79.900;136.80
80.000;116.05
80.100;116.72
80.200;132.94
80.300;136.23
80.400;136.37
80.500;140.19
80.600;142.13
80.700;143.76
80.800;139.37
80.900;138.71
81.000;138.27
81.100;135.75
81.200;136.79
81.300;138.46
81.400;138.98
81.500;141.94
81.600;139.83
81.700;139.41
81.800;135.03
81.900;135.04
82.000;135.51
82.100;134.26
82.200;137.61
82.300;137.41
82.400;143.28
82.500;142.48
82.600;140.32
82.700;139.08
82.800;125.30
82.900;135.59
83.000;128.75
83.100;129.81
83.200;134.21
83.300;134.35
83.400;138.86
83.500;138.76
83.600;136.12
83.700;133.42
83.800;127.40
83.900;122.74
84.000;110.19
84.100;105.55
84.200;122.92
84.300;127.66
84.400;131.39
84.500;123.39
84.600;130.30
84.700;133.77
84.800;130.20
84.900;131.16
85.000;127.37
85.100;123.00
85.200;131.48
85.300;129.10
85.400;132.09
85.500;135.32
85.600;123.55
85.700;133.03
85.800;129.94
85.900;119.74
86.000;128.64
86.100;131.24
86.200;134.13
86.300;126.43
86.400;128.49
86.500;122.07
86.600;126.76
86.700;128.44
86.800;131.38
86.900;135.38
87.000;135.26
87.100;140.60
87.200;141.64
87.300;126.23
87.400;135.20
87.500;132.42
87.600;126.94
87.700;134.07
87.800;133.41
87.900;122.33
88.000;129.24
88.100;129.17
88.200;131.27
88.300;134.91
88.400;130.18
88.500;116.27
88.600;112.62
88.700;118.17
88.800;119.39
88.900;126.15
89.000;134.43
89.100;139.75
89.200;138.50
89.300;130.66
89.400;138.71
89.500;136.56
89.600;141.00
89.700;131.74
89.800;134.59
89.900;139.17
90.000;131.82
90.100;137.91
90.200;144.45
90.300;140.96
90.400;145.35
90.500;150.20
90.600;144.42
90.700;150.40
90.800;140.22
90.900;146.18
91.000;141.02
91.100;138.68
91.200;129.30
91.300;126.72
91.400;136.21
91.500;139.66
91.600;141.22
91.700;141.05
91.800;135.72
91.900;140.59
92.000;136.58
92.100;138.38
92.200;128.68
92.300;136.13
92.400;140.50
92.500;142.70
92.600;141.74
92.700;138.51
92.800;136.76
92.900;142.89
93.000;136.64
93.100;146.04
93.200;137.84
93.300;147.87
93.400;156.70
93.500;153.12
93.600;149.16
93.700;156.79
93.800;147.96
93.900;157.45
94.000;154.60
94.100;161.03
94.200;161.91
94.300;164.15
94.400;162.40
94.500;160.94
94.600;165.10
94.700;162.44
94.800;124.12
94.900;97.78
95.000;87.29
95.100;100.07
95.200;159.09
95.300;163.01
95.400;169.17
95.500;162.32
95.600;122.14
95.700;170.74
95.800;186.72
95.900;189.15
96.000;188.98
96.100;191.37
96.200;173.62
96.300;174.20
96.400;168.88
96.500;177.31
96.600;171.76
96.700;170.06
96.800;163.01
96.900;165.71
97.000;157.56
97.100;164.92
97.200;168.70
97.300;150.20
97.400;151.15
97.500;127.67
97.600;128.63
97.700;148.99
97.800;162.33
97.900;137.57
98.000;142.51
98.100;147.31
98.200;138.65
98.300;157.13
98.400;156.05
98.500;151.10
98.600;147.51
98.700;148.33
98.800;153.88
98.900;150.78
99.000;128.71
99.100;141.15
99.200;137.50
99.300;147.92
99.400;150.98
99.500;160.16
99.600;145.96
99.700;147.13
99.800;152.83
99.900;150.78
100.000;147.12
100.100;159.38
100.200;149.65
100.300;149.60
100.400;156.06
100.500;152.07
100.600;155.08
100.700;156.82
100.800;143.74
100.900;156.82
101.000;152.57
101.100;144.77
101.200;148.83
101.300;143.62
101.400;140.61
101.500;158.35
101.600;169.03
101.700;175.07
101.800;168.11
101.900;166.46
102.000;156.01
102.100;139.32
102.200;141.88
102.300;147.43
102.400;144.69
102.500;138.74
102.600;138.61
102.700;140.76
102.800;126.76
102.900;124.91
103.000;122.39
103.100;126.49
103.200;124.66
103.300;113.38
103.400;131.13
103.500;130.63
103.600;115.61
103.700;132.62
103.800;130.53
103.900;128.14
104.000;137.68
104.100;137.37
104.200;137.19
104.300;140.03
104.400;134.16
104.500;142.30
104.600;144.46
104.700;146.93
104.800;136.29
104.900;137.59
105.000;135.63
105.100;132.38
105.200;141.18
105.300;134.48
105.400;140.27
105.500;139.65
105.600;131.52
105.700;136.49
105.800;134.79
105.900;130.04
106.000;137.27
106.100;135.39
106.200;135.63
106.300;135.11
106.400;140.45
106.500;142.29
106.600;141.72
106.700;141.09
106.800;136.13
106.900;139.18
107.000;138.85
107.100;141.10
107.200;138.71
107.300;141.60
107.400;146.23
107.500;141.06
107.600;133.11
107.700;142.41
107.800;141.07
107.900;144.53
108.000;141.95
108.100;131.70
108.200;140.21
108.300;138.28
108.400;136.74
108.500;133.33
108.600;140.47
108.700;143.48
108.800;137.50
108.900;141.83
109.000;139.78
109.100;143.73
109.200;144.66
109.300;139.59
109.400;139.46
109.500;136.84
109.600;126.57
109.700;133.20
109.800;137.11
109.900;137.12
110.000;134.71
110.100;135.52
110.200;137.83
110.300;139.07
110.400;135.03
110.500;132.37
110.600;133.51
110.700;137.09
110.800;138.43
110.900;142.59
111.000;141.62
111.100;148.44
111.200;151.87
111.300;137.68
111.400;144.35
111.500;142.56
111.600;141.86
111.700;132.28
111.800;140.71
111.900;139.19
112.000;140.76
112.100;137.15
112.200;142.38
112.300;141.85
112.400;148.38
112.500;143.32
112.600;146.25
112.700;153.58
112.800;139.77
112.900;147.50
113.000;148.63
113.100;137.82
113.200;135.85
113.300;144.33
113.400;149.13
113.500;157.36
113.600;153.46
113.700;163.96
113.800;162.55
113.900;158.94
114.000;158.79
114.100;157.50
114.200;164.39
114.300;167.73
114.400;171.40
114.500;170.98
114.600;171.34
114.700;174.88
114.800;167.55
114.900;156.24
115.000;169.63
115.100;162.65
115.200;173.57
115.300;163.14
115.400;159.38
115.500;159.24
115.600;171.49
115.700;175.38
115.800;163.81
115.900;172.57
116.000;180.39
116.100;182.52
116.200;183.90
116.300;176.03
116.400;151.20
116.500;133.87
116.600;132.26
116.700;132.08
116.800;137.63
116.900;163.69
117.000;165.98
117.100;165.73
117.200;170.74
117.300;168.59
117.400;153.48
117.500;163.61
117.600;163.30
117.700;167.53
117.800;163.00
117.900;156.92
118.000;151.58
118.100;154.16
118.200;155.14
118.300;148.45
118.400;145.05
118.500;137.69
118.600;142.58
118.700;134.51
118.800;113.50
118.900;109.79
119.000;139.94
119.100;167.27
119.200;166.88
119.300;156.87
119.400;152.51
119.500;152.08
119.600;158.14
119.700;155.65
119.800;147.81
119.900;145.08
120.000;143.86
120.100;141.11
120.200;138.89
120.300;137.55
120.400;123.95
120.500;123.37
120.600;124.32
120.700;125.91
