Time(s);RTF
39.80;0.97
39.90;0.88
40.00;1.18
40.10;0.98
40.20;1.01
40.30;0.99
40.40;1.00
40.50;1.00
40.60;0.98
40.70;1.01
40.80;0.98
40.90;1.03
41.00;0.99
41.10;1.01
41.20;0.99
41.30;1.00
41.40;0.98
41.50;1.02
41.60;0.99
41.70;1.01
41.80;0.99
41.90;1.05
42.00;0.98
42.10;1.00
42.20;1.00
42.30;0.96
42.40;1.05
42.50;1.00
42.60;0.98
42.70;0.99
42.80;1.01
42.90;1.03
43.00;0.99
43.10;0.96
43.20;1.03
43.30;1.01
43.40;0.99
43.50;1.02
43.60;0.98
43.70;0.99
43.80;1.01
43.90;1.01
44.00;0.99
44.10;0.99
44.20;0.99
44.30;1.06
44.40;1.02
44.50;0.97
44.60;0.98
44.70;1.00
44.80;1.00
44.90;1.00
45.00;0.96
45.10;1.01
45.20;1.00
45.30;1.01
45.40;0.97
45.50;1.05
45.60;1.00
45.70;0.99
45.80;1.03
45.90;1.00
46.00;0.97
46.10;1.02
46.20;0.99
46.30;1.01
46.40;1.00
46.50;0.99
46.60;1.01
46.70;0.98
46.80;1.01
46.90;0.99
47.00;1.03
47.10;1.00
47.20;0.99
47.30;1.01
47.40;0.97
47.50;1.02
47.60;1.01
47.70;0.97
47.80;1.04
47.90;1.01
48.00;0.97
48.10;1.03
48.20;1.00
48.30;1.00
48.40;0.98
48.50;1.00
48.60;1.03
48.70;0.99
48.80;1.00
48.90;0.99
49.00;1.01
49.10;1.02
49.20;1.00
49.30;0.98
49.40;1.01
49.50;1.01
49.60;0.99
49.70;1.02
49.80;0.97
49.90;1.00
50.00;1.01
50.10;1.00
50.20;1.00
50.30;1.00
50.40;1.00
50.50;0.99
50.60;0.99
50.70;1.01
50.80;1.00
50.90;1.00
51.00;1.00
51.10;1.01
51.20;0.99
51.30;0.97
51.40;1.01
51.50;1.02
51.60;0.99
51.70;0.97
51.80;1.04
51.90;0.97
52.00;1.02
52.10;0.99
52.20;1.00
52.30;1.00
52.40;0.98
52.50;1.02
52.60;0.99
52.70;1.01
52.80;0.98
52.90;1.03
53.00;0.99
53.10;1.00
53.20;1.00
53.30;0.97
53.40;1.00
53.50;1.02
53.60;1.01
53.70;1.00
53.80;1.01
53.90;0.99
54.00;1.00
54.10;1.00
54.20;1.00
54.30;0.97
54.40;1.04
54.50;0.99
54.60;0.99
54.70;1.02
54.80;0.98
54.90;1.01
55.00;1.00
55.10;0.99
55.20;0.99
55.30;1.01
55.40;1.00
55.50;1.00
55.60;1.01
55.70;1.00
55.80;0.98
55.90;1.02
56.00;0.99
56.10;1.01
56.20;1.00
56.30;0.99
56.40;1.01
56.50;0.98
56.60;1.01
56.70;0.95
56.80;1.05
56.90;1.01
57.00;0.99
57.10;0.99
57.20;1.03
57.30;1.00
57.40;0.99
57.50;0.99
57.60;1.00
57.70;1.02
57.80;1.00
57.90;0.99
58.00;1.00
58.10;0.98
58.20;1.03
58.30;0.97
58.40;1.01
58.50;1.00
58.60;1.00
58.70;1.00
58.80;0.98
58.90;1.02
59.00;1.00
59.10;0.99
59.20;1.01
59.30;1.01
59.40;0.96
59.50;1.01
59.60;1.04
59.70;0.99
59.80;0.94
59.90;1.06
60.00;0.99
60.10;0.98
60.20;1.03
60.30;0.99
60.40;0.98
60.50;1.02
60.60;1.00
60.70;1.00
60.80;0.98
60.90;1.01
61.00;1.00
61.10;1.00
61.20;1.00
61.30;1.01
61.40;0.99
61.50;1.00
61.60;0.98
61.70;1.01
61.80;1.00
61.90;1.01
62.00;0.99
62.10;1.01
62.20;0.98
62.30;1.01
62.40;0.99
62.50;0.98
62.60;1.01
62.70;1.00
62.80;1.01
62.90;1.00
63.00;0.97
63.10;1.03
63.20;0.99
63.30;1.00
63.40;1.01
63.50;0.99
63.60;0.96
63.70;1.00
63.80;1.01
63.90;1.03
64.00;1.01
64.10;1.02
64.20;0.99
64.30;1.01
64.40;1.02
64.50;0.97
64.60;0.98
64.70;1.05
64.80;0.99
64.90;0.98
65.00;1.01
65.10;0.97
65.20;1.04
65.30;0.96
65.40;1.05
65.50;1.01
65.60;0.97
65.70;1.00
65.80;1.01
65.90;1.01
66.00;0.99
66.10;1.04
66.20;0.98
66.30;0.95
66.40;1.02
66.50;1.06
66.60;0.98
66.70;1.00
66.80;1.02
66.90;0.94
67.00;1.04
67.10;1.01
67.20;1.02
67.30;0.98
67.40;1.00
67.50;0.99
67.60;1.01
67.70;1.04
67.80;0.95
67.90;0.98
68.00;1.02
68.10;1.01
68.20;1.00
68.30;0.97
68.40;0.16
68.50;0.15
68.60;0.18
68.70;0.58
68.80;2.65
68.90;3.03
69.00;3.12
69.10;2.66
69.20;3.44
69.30;3.68
69.40;3.98
69.50;3.87
69.60;3.58
69.70;3.49
69.80;3.83
69.90;3.59
70.00;2.96
70.10;2.65
70.20;3.75
70.30;3.32
70.40;3.38
70.50;3.48
